event_name,start_date,end_date,category,description
Gulf War,1990-08-02,1991-02-28,geopolitical,"Iraq invasion of Kuwait led to international military response and disruption of oil supplies from the region"
Asian Financial Crisis,1997-07-02,1998-12-31,economic,"Regional economic collapse in East Asia reduced oil demand and caused global market uncertainty"
9/11 Terror Attacks,2001-09-11,2001-10-31,geopolitical,"Terrorist attacks on United States caused immediate market shock and uncertainty about global security"
Iraq War,2003-03-20,2003-05-01,geopolitical,"US-led invasion of Iraq disrupted oil production and created supply concerns in major oil-producing region"
Hurricane Katrina,2005-08-29,2005-09-30,supply_shock,"Major hurricane damaged Gulf of Mexico oil infrastructure causing significant production disruption"
Global Financial Crisis,2008-07-01,2009-06-30,economic,"Subprime mortgage crisis evolved into global financial meltdown with severe demand destruction for oil"
Arab Spring Uprisings,2010-12-17,2011-12-31,geopolitical,"Popular uprisings across Middle East and North Africa disrupted oil supplies from Libya and created regional instability"
Libyan Civil War,2011-02-15,2011-10-23,supply_shock,"Civil war in Libya removed approximately 1.6 million barrels per day from global supply"
Shale Revolution Impact,2014-06-01,2014-12-31,supply_shock,"US shale oil production surge created significant oversupply in global markets"
OPEC No-Cut Decision,2014-11-27,2014-11-27,policy,"OPEC decided not to cut production despite falling prices leading to accelerated price decline"
OPEC Production Cut Agreement,2016-11-30,2016-12-10,policy,"OPEC and Russia agreed to cut production for first time in 8 years to support prices"
US Shale Production Peak,2018-08-01,2018-12-31,supply_shock,"US became world's largest oil producer surpassing Russia and Saudi Arabia"
COVID-19 Pandemic,2020-03-11,2020-06-30,economic,"Global pandemic caused unprecedented demand destruction as lockdowns halted economic activity worldwide"
Saudi-Russia Price War,2020-03-08,2020-04-12,policy,"Saudi Arabia and Russia flooded market with crude after failing to agree on production cuts"
Russia-Ukraine War,2022-02-24,2022-09-30,geopolitical,"Russian invasion of Ukraine triggered energy crisis with sanctions on Russian oil and gas exports"
